_row_id,augment_ranking_row_id,stage_order,stage_pick_rate,avg_ranking,raw_json
79,27,1,2.27,4.64,"{""stagePickRate"":2.27,""avgRanking"":4.64}"
80,27,2,5.79,4.47,"{""stagePickRate"":5.79,""avgRanking"":4.47}"
81,27,3,12.18,4.23,"{""stagePickRate"":12.18,""avgRanking"":4.23}"
82,28,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
83,28,2,19.16,4.45,"{""stagePickRate"":19.16,""avgRanking"":4.45}"
84,28,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
85,29,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
86,29,2,9.18,4.5,"{""stagePickRate"":9.18,""avgRanking"":4.5}"
87,29,3,10.2,4.3,"{""stagePickRate"":10.2,""avgRanking"":4.3}"
88,30,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
89,30,2,15.29,4.52,"{""stagePickRate"":15.29,""avgRanking"":4.52}"
90,30,3,4.02,4.34,"{""stagePickRate"":4.02,""avgRanking"":4.34}"
91,31,1,17.41,4.51,"{""stagePickRate"":17.41,""avgRanking"":4.51}"
92,31,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
93,31,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
94,32,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
95,32,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
96,32,3,19.16,4.32,"{""stagePickRate"":19.16,""avgRanking"":4.32}"
97,33,1,19.08,4.44,"{""stagePickRate"":19.08,""avgRanking"":4.44}"
98,33,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
99,33,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
100,34,1,17.52,4.45,"{""stagePickRate"":17.52,""avgRanking"":4.45}"
101,34,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
102,34,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
103,35,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
104,35,2,18.64,3.9,"{""stagePickRate"":18.64,""avgRanking"":3.9}"
105,35,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
106,36,1,17.12,4.47,"{""stagePickRate"":17.12,""avgRanking"":4.47}"
107,36,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
108,36,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
109,37,1,6.2,3.96,"{""stagePickRate"":6.2,""avgRanking"":3.96}"
110,37,2,10.12,3.94,"{""stagePickRate"":10.12,""avgRanking"":3.94}"
111,37,3,2.43,4,"{""stagePickRate"":2.43,""avgRanking"":4}"
112,38,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
113,38,2,17.93,4.71,"{""stagePickRate"":17.93,""avgRanking"":4.71}"
114,38,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
115,39,1,18.72,4.41,"{""stagePickRate"":18.72,""avgRanking"":4.41}"
116,39,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
117,39,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
118,40,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
119,40,2,18.31,4.69,"{""stagePickRate"":18.31,""avgRanking"":4.69}"
120,40,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
121,41,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
122,41,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
123,41,3,18.54,4.47,"{""stagePickRate"":18.54,""avgRanking"":4.47}"
124,42,1,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
125,42,2,5.14,4.56,"{""stagePickRate"":5.14,""avgRanking"":4.56}"
126,42,3,12.64,4.29,"{""stagePickRate"":12.64,""avgRanking"":4.29}"
127,43,1,3.97,4.94,"{""stagePickRate"":3.97,""avgRanking"":4.94}"
128,43,2,13.1,4.39,"{""stagePickRate"":13.1,""avgRanking"":4.39}"
129,43,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
130,44,1,17.43,4.59,"{""stagePickRate"":17.43,""avgRanking"":4.59}"
131,44,2,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
132,44,3,0,99999,"{""stagePickRate"":0,""avgRanking"":99999}"
